date,open,high,low,close,volume
2023-01-03,178.5,179.0958,178.1791,178.9663,21847073
2023-01-04,178.9663,179.2653,178.3639,179.1759,10076053
2023-01-05,179.1759,180.4364,178.6409,179.5132,9241454
2023-01-06,179.5132,180.2998,178.1685,180.1176,5267689
2023-01-09,180.1176,180.7737,178.9913,180.7489,11164745
2023-01-10,180.7489,183.7038,179.5915,182.4524,12285744
2023-01-11,182.4524,184.2467,182.337,183.6194,8696739
2023-01-12,183.6194,186.1698,183.0876,184.7418,10031820
2023-01-13,184.7418,185.8011,183.6132,184.3768,8020698
2023-01-16,184.3768,185.2189,182.4969,182.9258,7245637
2023-01-17,182.9258,183.5228,181.8524,183.3415,8383064
2023-01-18,183.3415,184.1848,181.7671,182.9491,12336594
2023-01-19,182.9491,184.2964,181.9618,182.6153,9002270
2023-01-20,182.6153,183.0469,182.2922,182.8128,20156117
2023-01-23,182.8128,183.2135,181.4095,182.6103,14576753
2023-01-24,182.6103,183.9071,181.293,183.5969,16005127
2023-01-25,183.5969,185.0192,182.7904,183.6338,5273265
2023-01-26,183.6338,184.3157,182.819,183.8787,14630194
2023-01-27,183.8787,184.7465,182.3966,183.5068,13554502
2023-01-30,183.5068,184.7686,182.9289,183.2377,6766417
2023-01-31,183.2377,183.8302,180.8687,181.8211,8901313
2023-02-01,181.8211,182.0791,180.5535,181.9966,11926489
2023-02-02,181.9966,182.9337,180.286,180.7162,12859598
2023-02-03,180.7162,182.3134,180.2955,180.9303,13794824
2023-02-06,180.9303,183.0804,180.3431,182.6684,6367408
2023-02-07,182.6684,183.4634,181.9154,182.2316,11626163
2023-02-08,182.2316,183.6999,181.4821,183.4401,13085532
2023-02-09,183.4401,183.8816,182.6051,183.5819,9693778
2023-02-10,183.5819,184.8485,182.7238,184.3497,7783105
2023-02-13,184.3497,185.5131,183.7317,183.9247,19682882
2023-02-14,183.9247,184.4446,183.011,183.1576,5920325
2023-02-15,183.1576,183.5694,182.0782,183.5023,17721905
2023-02-16,183.5023,184.9418,181.9917,182.5661,11664289
2023-02-17,182.5661,184.0614,181.3632,183.939,21494814
2023-02-20,183.939,185.1938,183.2125,184.1831,18070287
2023-02-21,184.1831,185.2317,183.686,185.1376,18290317
2023-02-22,185.1376,186.0211,185.1094,185.8222,18494462
2023-02-23,185.8222,187.3611,185.0379,186.5814,4120969
2023-02-24,186.5814,187.5302,185.0009,186.2047,12830614
2023-02-27,186.2047,186.7104,184.5416,185.2293,4597818
2023-02-28,185.2293,186.4489,184.5583,185.3533,14036401
2023-03-01,185.3533,187.7696,185.2737,186.803,20812550
2023-03-02,186.803,187.6877,185.2311,186.0772,19379851
2023-03-03,186.0772,187.853,184.9795,187.0707,16939774
2023-03-06,187.0707,188.8078,186.7725,188.7335,13619632
2023-03-07,188.7335,190.0866,187.0056,188.4436,9242169
2023-03-08,188.4436,189.1978,187.1904,188.7311,5037105
2023-03-09,188.7311,189.5122,187.8515,189.2753,7885395
2023-03-10,189.2753,191.5235,188.01,190.0387,11780606
2023-03-13,190.0387,190.954,188.3087,188.5185,7216775
