date,open,high,low,close,volume
2023-01-03,165.8,166.8022,165.6508,166.2271,17361734
2023-01-04,166.2271,166.9264,164.6038,165.2284,12705379
2023-01-05,165.2284,166.1128,164.587,164.6817,15850059
2023-01-06,164.6817,165.1018,163.6719,164.3768,11504945
2023-01-09,164.3768,165.7752,163.8427,164.8685,15653905
2023-01-10,164.8685,165.458,164.1856,164.947,5306983
2023-01-11,164.947,166.3728,164.5747,166.284,14621941
2023-01-12,166.284,167.8159,165.5498,167.5802,18228493
2023-01-13,167.5802,169.3376,166.4931,168.1831,10444131
2023-01-16,168.1831,169.2868,167.3692,168.9941,5840772
2023-01-17,168.9941,170.1314,166.9722,167.7906,6355556
2023-01-18,167.7906,169.3391,166.4977,168.5992,5144204
2023-01-19,168.5992,168.796,167.304,168.3928,11352310
2023-01-20,168.3928,169.9623,168.3894,169.6882,7278257
2023-01-23,169.6882,170.9147,168.745,169.5625,4270365
2023-01-24,169.5625,170.3227,168.2949,170.3166,7712619
2023-01-25,170.3166,172.0103,169.8825,170.8203,8964559
2023-01-26,170.8203,171.925,168.7528,169.8439,14246105
2023-01-27,169.8439,171.0242,169.51,170.192,20246486
2023-01-30,170.192,170.874,168.4038,169.2036,11572633
2023-01-31,169.2036,170.6934,168.1904,170.1786,11308739
2023-02-01,170.1786,171.1243,169.0409,170.5679,17010949
2023-02-02,170.5679,171.8706,169.3419,171.1724,10973477
2023-02-03,171.1724,172.1934,169.8435,171.2195,6574633
2023-02-06,171.2195,171.462,169.6497,170.0333,10424660
2023-02-07,170.0333,171.0683,169.9117,170.4074,16412152
2023-02-08,170.4074,172.1,169.4783,171.1808,7674454
2023-02-09,171.1808,173.6244,170.8488,172.4147,17573396
2023-02-10,172.4147,173.0057,171.5302,172.5743,13579783
2023-02-13,172.5743,174.3199,172.5576,173.8859,13113858
2023-02-14,173.8859,175.0625,172.5022,173.0428,5454572
2023-02-15,173.0428,173.6694,172.0431,172.8741,21417525
2023-02-16,172.8741,175.2644,172.5158,173.8887,12018112
2023-02-17,173.8887,175.8305,173.8379,175.1918,8373179
2023-02-20,175.1918,176.5795,174.3812,175.1308,6702732
2023-02-21,175.1308,175.8978,173.171,174.304,19344801
2023-02-22,174.304,175.9552,173.8516,175.6061,18842542
2023-02-23,175.6061,176.522,175.1713,175.3988,12212783
2023-02-24,175.3988,178.0628,175.0161,176.9114,5826145
2023-02-27,176.9114,177.7316,176.3953,177.0166,8536314
2023-02-28,177.0166,177.2594,176.0323,177.1545,11515052
2023-03-01,177.1545,177.5394,176.753,177.3849,19988559
2023-03-02,177.3849,177.7151,176.0445,177.5142,17929337
2023-03-03,177.5142,179.5665,177.1579,179.0442,11241502
2023-03-06,179.0442,179.3189,177.3302,177.739,4324152
2023-03-07,177.739,179.6283,177.0163,179.2793,15206016
2023-03-08,179.2793,181.0012,178.5522,180.8151,17514914
2023-03-09,180.8151,181.7521,180.3356,180.5454,5196378
2023-03-10,180.5454,181.0678,179.4797,180.8034,6188733
2023-03-13,180.8034,181.4439,178.7855,179.7031,17265676
2023-03-14,179.7031,181.1065,177.5766,179.0066,17032572
2023-03-15,179.0066,180.8599,178.8741,180.1453,10199441
2023-03-16,180.1453,181.0903,179.1226,179.2902,12218654
2023-03-17,179.2902,180.5894,177.807,178.8232,13785061
2023-03-20,178.8232,179.8815,178.5429,179.5457,12977048
2023-03-21,179.5457,179.7089,178.0282,179.0113,4690599
2023-03-22,179.0113,179.0814,177.6298,178.8411,11664858
2023-03-23,178.8411,179.902,178.8301,179.2584,7532585
2023-03-24,179.2584,180.5451,178.7642,180.2102,19598933
2023-03-27,180.2102,181.9114,178.7872,181.1947,15752526
2023-03-28,181.1947,182.4832,179.0539,180.3503,4408789
2023-03-29,180.3503,181.968,179.1939,180.9269,17364125
2023-03-30,180.9269,182.6997,180.4817,181.7952,17668112
2023-03-31,181.7952,182.2057,181.4723,181.5291,11031284
2023-04-03,181.5291,182.7929,180.1309,181.2005,10175628
2023-04-04,181.2005,181.3387,179.3578,180.4839,6489125
2023-04-05,180.4839,181.3414,179.0126,179.2718,4605425
2023-04-06,179.2718,181.0411,178.828,180.1697,6001004
2023-04-07,180.1697,181.6025,179.305,180.1031,20146889
2023-04-10,180.1031,180.3319,179.1955,179.2737,16248309
2023-04-11,179.2737,180.2718,178.8835,179.6755,17563915
2023-04-12,179.6755,180.6912,178.7565,179.7938,10715859
2023-04-13,179.7938,181.541,178.7939,180.3508,14286237
2023-04-14,180.3508,181.6105,178.925,180.6752,11387575
2023-04-17,180.6752,180.9968,178.3887,179.4085,15839769
2023-04-18,179.4085,180.4012,178.5804,179.9675,13173509
2023-04-19,179.9675,180.8077,178.9604,179.4201,18095421
