date,open,high,low,close,volume
2023-01-03,398.6,400.9901,397.5424,397.7099,13904939
2023-01-04,397.7099,397.9528,394.2542,395.4076,20610527
2023-01-05,395.4076,399.5711,392.4118,397.5714,12015960
2023-01-06,397.5714,398.2449,395.214,397.7079,13305453
2023-01-09,397.7079,399.8675,395.8619,396.6041,20424203
2023-01-10,396.6041,399.8111,394.8258,398.9557,8840807
2023-01-11,398.9557,402.3555,398.463,399.6805,4151196
2023-01-12,399.6805,404.5664,398.0672,402.4447,11283523
2023-01-13,402.4447,404.7727,400.9226,403.9181,10574990
2023-01-16,403.9181,405.8593,403.4879,404.4402,8057675
2023-01-17,404.4402,408.312,401.556,406.135,10728694
2023-01-18,406.135,406.8024,403.2417,405.9095,4895480
2023-01-19,405.9095,407.4514,402.9224,404.0494,15396944
2023-01-20,404.0494,406.1681,402.8152,403.0294,10228775
2023-01-23,403.0294,406.5938,402.5133,405.1964,6101395
2023-01-24,405.1964,407.4908,401.1953,403.5245,10385540
2023-01-25,403.5245,408.0075,403.1412,404.9373,5203905
2023-01-26,404.9373,406.2214,403.8403,405.0808,6909064
2023-01-27,405.0808,408.7343,403.1144,407.6217,7871613
2023-01-30,407.6217,410.1546,405.3506,408.3258,21327591
2023-01-31,408.3258,412.4637,407.1634,409.6797,20156330
2023-02-01,409.6797,414.6798,409.6173,411.8499,13134655
2023-02-02,411.8499,412.7078,407.7501,410.556,5531576
2023-02-03,410.556,413.7651,409.7281,412.4183,20177316
2023-02-06,412.4183,413.1156,407.4188,410.5682,6264834
2023-02-07,410.5682,412.0886,409.0696,410.5978,9803786
2023-02-08,410.5978,412.3044,409.7822,411.904,7186771
2023-02-09,411.904,413.2073,409.2535,410.7019,16474365
2023-02-10,410.7019,412.6201,407.4283,411.6244,16621245
2023-02-13,411.6244,416.7683,409.3651,414.6612,19034366
2023-02-14,414.6612,417.3815,412.4541,416.7929,13431569
2023-02-15,416.7929,417.4046,413.4092,416.0128,19025477
2023-02-16,416.0128,421.1598,412.7719,418.3438,18769065
2023-02-17,418.3438,422.9714,416.9408,421.4971,15422428
