date,open,high,low,close,volume
2023-01-03,118.4,118.8074,117.0193,117.2057,10366000
2023-01-04,117.2057,117.3012,116.5291,116.9762,7670123
2023-01-05,116.9762,118.8045,116.753,118.5865,5185623
2023-01-06,118.5865,119.0335,118.2584,118.7166,17217404
2023-01-09,118.7166,120.9578,118.4436,120.1291,6646236
2023-01-10,120.1291,121.7838,120.0036,120.9406,10597284
2023-01-11,120.9406,121.0061,119.7824,120.1177,10732647
2023-01-12,120.1177,120.938,119.6321,120.8873,16488689
2023-01-13,120.8873,122.0095,119.925,121.6858,5463344
2023-01-16,121.6858,122.4904,121.4456,122.4753,12661430
2023-01-17,122.4753,123.3473,122.1863,123.1779,20141091
2023-01-18,123.1779,125.0199,122.9008,124.6678,12625107
2023-01-19,124.6678,125.1459,123.7817,124.0329,7963041
2023-01-20,124.0329,125.3323,123.787,125.2379,19938412
2023-01-23,125.2379,126.7183,124.4193,126.035,9797808
2023-01-24,126.035,128.329,125.8828,127.7054,20847064
2023-01-25,127.7054,127.8883,126.3661,126.7758,14211189
2023-01-26,126.7758,127.144,126.4526,126.9134,14080037
2023-01-27,126.9134,128.6841,126.5288,128.1684,5984079
2023-01-30,128.1684,128.2894,125.8501,126.7101,19940718
2023-01-31,126.7101,128.9168,126.4496,128.3607,15800027
2023-02-01,128.3607,130.5708,128.0319,130.1665,5531217
2023-02-02,130.1665,130.9072,129.1661,130.7763,4217524
2023-02-03,130.7763,132.7514,130.7678,132.6397,14070716
2023-02-06,132.6397,133.4711,131.7239,132.2449,5595886
2023-02-07,132.2449,132.3555,131.4932,131.7675,10043782
2023-02-08,131.7675,132.4413,130.3776,130.8493,12500624
2023-02-09,130.8493,130.9487,128.9334,129.7299,17508584
2023-02-10,129.7299,130.1195,128.9912,129.6558,11551681
2023-02-13,129.6558,129.9189,127.8515,128.6603,19613620
2023-02-14,128.6603,130.9342,127.8749,129.9447,10104277
2023-02-15,129.9447,132.1235,128.9705,131.6489,4840875
2023-02-16,131.6489,132.3155,131.0698,131.6808,6108515
2023-02-17,131.6808,132.5829,130.8016,132.069,12759606
2023-02-20,132.069,133.3602,131.5179,132.7841,16510046
2023-02-21,132.7841,133.8281,132.504,132.925,10996426
2023-02-22,132.925,133.4728,132.037,133.4042,6985830
2023-02-23,133.4042,133.7644,131.6051,132.4547,12588982
2023-02-24,132.4547,132.4932,131.9847,132.1141,15855969
2023-02-27,132.1141,134.2449,131.3574,133.4694,17510250
2023-02-28,133.4694,134.1546,132.0912,132.6959,10779418
2023-03-01,132.6959,133.6528,132.3754,133.1617,21823813
2023-03-02,133.1617,133.7128,133.0947,133.3535,5078396
2023-03-03,133.3535,135.7575,133.1334,135.1684,12856063
2023-03-06,135.1684,135.7251,133.0451,133.6665,14849676
2023-03-07,133.6665,134.2962,133.4758,133.7393,17888289
2023-03-08,133.7393,135.2715,133.2844,134.9468,16393984
2023-03-09,134.9468,135.2329,132.9071,133.3488,16353144
2023-03-10,133.3488,133.8372,131.5583,132.2331,19015552
2023-03-13,132.2331,132.359,130.1812,130.6711,12258481
2023-03-14,130.6711,132.1881,129.7993,131.8795,15069903
2023-03-15,131.8795,132.5345,131.346,132.0054,9832724
2023-03-16,132.0054,132.4422,130.3571,130.9175,8520450
2023-03-17,130.9175,131.6291,130.9058,131.1992,7473763
2023-03-20,131.1992,132.1867,129.5633,130.4802,16512052
2023-03-21,130.4802,131.4648,129.9978,130.2762,17584216
2023-03-22,130.2762,132.3457,129.5404,132.2085,8209016
2023-03-23,132.2085,134.393,132.1148,134.1043,10739276
2023-03-24,134.1043,136.2533,133.1122,135.185,15196431
2023-03-27,135.185,135.9784,134.4041,135.2081,16984905
2023-03-28,135.2081,137.2948,134.8522,136.4187,8537375
2023-03-29,136.4187,136.7939,135.8836,136.6622,5139227
2023-03-30,136.6622,138.9484,136.3884,137.9733,15678788
2023-03-31,137.9733,138.7756,136.9463,137.6251,12262159
2023-04-03,137.6251,138.071,136.3259,136.8154,17006057
2023-04-04,136.8154,136.9388,134.925,135.5402,7728728
2023-04-05,135.5402,138.5092,135.4524,137.5367,12483836
2023-04-06,137.5367,138.4097,135.2919,135.9859,14625485
2023-04-07,135.9859,136.3968,133.9536,134.7817,6496494
2023-04-10,134.7817,135.0817,134.1877,134.9535,9069620
2023-04-11,134.9535,136.5617,134.8547,136.1376,9738058
2023-04-12,136.1376,136.5914,134.0996,135.0156,15509782
2023-04-13,135.0156,137.8332,134.4334,136.92,15680280
2023-04-14,136.92,138.0448,136.0053,137.7052,18069341
2023-04-17,137.7052,139.0434,137.3714,138.183,7341499
2023-04-18,138.183,139.3792,137.2671,138.7584,7785122
2023-04-19,138.7584,140.9591,138.0574,140.0618,13945249
2023-04-20,140.0618,140.4364,137.7447,138.56,9075547
2023-04-21,138.56,138.9127,136.653,137.6771,5711841
2023-04-24,137.6771,137.8947,137.0169,137.5553,19147136
2023-04-25,137.5553,140.3404,136.4683,139.2713,8850765
2023-04-26,139.2713,141.2438,138.8341,140.4536,17414622
2023-04-27,140.4536,141.2975,139.4384,140.6317,18152919
2023-04-28,140.6317,141.6001,139.1649,139.8855,18291844
2023-05-01,139.8855,141.0781,138.7679,140.3481,21964826
2023-05-02,140.3481,141.2015,139.1809,139.3857,8343617
2023-05-03,139.3857,139.9933,139.3552,139.409,19718638
2023-05-04,139.409,140.5767,138.5604,140.1127,6639615
2023-05-05,140.1127,141.1476,137.6311,138.7152,16223477
2023-05-08,138.7152,139.1696,138.0303,138.2077,5230877
2023-05-09,138.2077,138.9073,137.3997,137.4532,12516793
2023-05-10,137.4532,139.0846,136.5448,138.7212,21965463
2023-05-11,138.7212,138.9699,136.9665,137.5745,19745344
