date,open,high,low,close,volume
2023-01-03,98.2,98.8025,97.6115,98.0242,8771600
2023-01-04,98.0242,98.0607,97.5744,98.0171,11577288
2023-01-05,98.0171,98.3993,97.0194,97.7967,7195673
2023-01-06,97.7967,97.8504,97.5542,97.7689,6816879
2023-01-09,97.7689,98.1261,97.1168,97.7156,15783993
2023-01-10,97.7156,98.6568,97.0224,97.9129,10403177
2023-01-11,97.9129,98.6466,97.1737,97.8545,5333487
2023-01-12,97.8545,98.5678,97.7409,98.0658,21600570
2023-01-13,98.0658,98.8094,97.4872,98.5671,10384006
2023-01-16,98.5671,99.1376,98.3691,99.0221,6194367
2023-01-17,99.0221,100.0852,98.8962,99.3937,9979889
2023-01-18,99.3937,99.9085,99.2385,99.6931,17256820
2023-01-19,99.6931,99.8637,98.8801,99.443,18043096
2023-01-20,99.443,99.8375,99.2348,99.3837,15587204
2023-01-23,99.3837,100.4079,99.0037,99.6113,13671530
2023-01-24,99.6113,100.3741,99.5329,99.9305,20108012
2023-01-25,99.9305,101.05,99.8493,100.3138,12066746
2023-01-26,100.3138,101.4457,99.9337,100.791,11291982
2023-01-27,100.791,101.545,100.2106,100.3495,10806574
2023-01-30,100.3495,100.5044,99.854,100.3549,15306127
2023-01-31,100.3549,100.9104,100.3119,100.6059,14440233
2023-02-01,100.6059,100.8871,100.2578,100.2946,21794335
2023-02-02,100.2946,100.5213,99.5572,100.3678,21382586
2023-02-03,100.3678,100.5041,99.8698,100.2164,15464206
2023-02-06,100.2164,100.5512,100.1712,100.2378,14913254
2023-02-07,100.2378,101.2112,100.0392,100.7971,12057554
2023-02-08,100.7971,101.5876,99.8571,100.4027,11130122
2023-02-09,100.4027,101.2094,100.2879,100.8043,15927570
2023-02-10,100.8043,101.3897,100.0392,100.4769,16534492
2023-02-13,100.4769,101.133,100.1662,100.6418,5056921
2023-02-14,100.6418,101.5997,100.4232,101.0982,16553099
2023-02-15,101.0982,101.8772,101.0589,101.3004,10769244
2023-02-16,101.3004,102.0993,100.8531,101.4545,21583560
2023-02-17,101.4545,102.1956,100.5947,101.0343,20249581
2023-02-20,101.0343,101.0605,100.2643,100.8737,8307391
2023-02-21,100.8737,101.5906,100.144,100.9029,11143478
2023-02-22,100.9029,101.0741,100.8196,100.9102,7266578
2023-02-23,100.9102,101.0935,100.2166,100.4178,9607643
2023-02-24,100.4178,100.4926,99.4252,100.1958,9559256
2023-02-27,100.1958,100.2209,99.7756,100.1653,12747366
2023-02-28,100.1653,100.398,99.6286,99.7937,10731960
2023-03-01,99.7937,99.9535,99.6572,99.8441,15162323
2023-03-02,99.8441,100.4959,99.1573,99.9215,17696897
2023-03-03,99.9215,100.0819,99.5835,99.671,6924116
2023-03-06,99.671,100.0969,99.0266,99.3313,13767452
2023-03-07,99.3313,99.6566,99.1223,99.3546,15619994
2023-03-08,99.3546,100.2648,99.3496,99.6699,13422394
2023-03-09,99.6699,100.3551,99.6242,100.0865,5440001
2023-03-10,100.0865,100.8233,99.3979,100.5446,7047363
2023-03-13,100.5446,101.2791,100.0069,100.6048,9584341
2023-03-14,100.6048,101.3838,100.4159,100.9622,18061960
2023-03-15,100.9622,102.0343,100.6764,101.2498,19581270
2023-03-16,101.2498,101.9337,100.595,100.7792,10252952
2023-03-17,100.7792,101.5226,100.6044,101.1559,9008807
2023-03-20,101.1559,101.5304,100.7048,101.428,19965499
2023-03-21,101.428,102.0537,100.6295,101.5578,14081095
2023-03-22,101.5578,102.6034,100.8895,102.0085,12714036
2023-03-23,102.0085,102.4908,101.0697,101.8297,16528348
2023-03-24,101.8297,102.1744,101.7482,102.0215,17465204
2023-03-27,102.0215,102.7645,101.5026,102.0763,4476785
2023-03-28,102.0763,102.8372,101.1362,101.5804,8519863
2023-03-29,101.5804,102.0107,100.944,101.1016,9531559
2023-03-30,101.1016,101.5119,100.7131,101.2671,18838929
2023-03-31,101.2671,101.8268,101.1841,101.2317,5312270
2023-04-03,101.2317,101.3287,101.2226,101.3072,18994502
2023-04-04,101.3072,101.8058,101.2686,101.5412,14536914
2023-04-05,101.5412,102.1894,101.2407,101.4643,8348143
2023-04-06,101.4643,102.2918,100.9847,101.775,5912318
2023-04-07,101.775,102.2466,101.2609,102.1769,11116133
2023-04-10,102.1769,102.7092,101.5242,102.0514,10098123
2023-04-11,102.0514,102.9694,101.3679,102.2887,6207537
2023-04-12,102.2887,102.6899,102.1593,102.1909,19996850
2023-04-13,102.1909,102.4224,101.1093,101.8275,21194072
2023-04-14,101.8275,102.6218,101.2068,102.0995,12031122
2023-04-17,102.0995,102.3734,101.8981,102.0555,16017572
2023-04-18,102.0555,102.5652,101.2132,101.6604,6693058
2023-04-19,101.6604,102.3508,100.6445,101.39,14202093
2023-04-20,101.39,101.8465,100.5695,101.2584,16991713
2023-04-21,101.2584,101.346,100.523,101.1486,11716066
2023-04-24,101.1486,101.1744,100.2935,100.8346,6059718
2023-04-25,100.8346,101.0602,100.2313,100.4644,21655426
2023-04-26,100.4644,100.984,99.5275,100.2833,8581958
2023-04-27,100.2833,100.6285,99.6083,99.788,13900828
2023-04-28,99.788,100.3586,99.2355,99.2954,4524030
2023-05-01,99.2954,99.9455,98.8586,99.3517,11165848
2023-05-02,99.3517,100.0147,98.8813,99.1774,16345441
2023-05-03,99.1774,99.8008,98.5602,99.2897,4688060
2023-05-04,99.2897,100.467,99.0202,99.8119,21656265
2023-05-05,99.8119,100.4594,99.7161,99.9937,20304334
2023-05-08,99.9937,100.4613,98.9236,99.5433,13096145
2023-05-09,99.5433,99.9649,99.3049,99.8146,19043839
2023-05-10,99.8146,100.199,99.1523,100.1825,4231775
2023-05-11,100.1825,100.521,99.1983,99.8304,17792533
2023-05-12,99.8304,100.7739,99.3341,100.2384,4898307
2023-05-15,100.2384,101.142,100.0271,100.6079,11976013
2023-05-16,100.6079,101.4222,100.3954,101.1435,18754514
2023-05-17,101.1435,101.7632,100.2461,100.9633,6786799
2023-05-18,100.9633,101.9469,100.6258,101.1748,11971871
2023-05-19,101.1748,101.9163,100.814,101.2173,19346250
2023-05-22,101.2173,101.9269,100.9873,101.3957,18727872
2023-05-23,101.3957,102.2764,101.2048,101.6005,4462222
2023-05-24,101.6005,101.7221,100.7477,101.201,11934186
2023-05-25,101.201,101.5106,100.2779,100.7832,6747101
2023-05-26,100.7832,101.4243,100.0191,100.8848,21390829
2023-05-29,100.8848,101.3969,100.5685,100.9423,12787097
2023-05-30,100.9423,101.6515,100.6935,100.8419,6813657
2023-05-31,100.8419,101.4885,100.8393,101.1579,20728569
2023-06-01,101.1579,102.0888,100.8251,101.3675,19051111
2023-06-02,101.3675,101.6311,101.2262,101.2563,10139747
2023-06-05,101.2563,101.9654,100.5106,101.4606,5020791
2023-06-06,101.4606,101.5798,101.2736,101.5528,12577712
2023-06-07,101.5528,102.7009,101.0291,102.1112,10037680
2023-06-08,102.1112,102.3719,101.3943,101.8551,13874150
2023-06-09,101.8551,102.9855,101.2547,102.2958,19295648
2023-06-12,102.2958,103.1502,102.1351,102.6458,17453969
2023-06-13,102.6458,103.6574,102.5183,102.9686,18771371
2023-06-14,102.9686,103.9414,102.2383,103.2471,14875575
2023-06-15,103.2471,104.0173,102.9912,103.7659,10300541
2023-06-16,103.7659,104.7528,103.2354,104.026,9340717
2023-06-19,104.026,104.4503,103.3387,103.7842,12864461
2023-06-20,103.7842,104.7541,103.3021,103.9332,4014004
2023-06-21,103.9332,104.7528,102.7589,103.4837,20568407
2023-06-22,103.4837,104.0898,102.8559,103.9216,5044167
2023-06-23,103.9216,104.159,103.307,103.6534,9163649
2023-06-26,103.6534,104.4865,102.9088,103.6841,20406451
2023-06-27,103.6841,104.4797,102.9335,103.4429,8158781
2023-06-28,103.4429,103.9934,103.2886,103.9391,16875770
2023-06-29,103.9391,105.2891,103.2208,104.4741,11440126
2023-06-30,104.4741,105.3029,104.0805,104.508,20128218
2023-07-03,104.508,105.1906,104.4524,104.8609,12834807
2023-07-04,104.8609,105.8339,104.7595,105.1139,20488531
2023-07-05,105.1139,105.9464,104.6038,104.809,4696143
2023-07-06,104.809,104.9569,104.3191,104.4201,9586058
2023-07-07,104.4201,105.3101,103.6575,104.8083,9612248
2023-07-10,104.8083,105.6385,104.4353,104.7928,12965281
2023-07-11,104.7928,105.1393,104.4092,105.0574,9134159
2023-07-12,105.0574,105.52,104.5062,105.294,9083945
2023-07-13,105.294,105.4169,104.5531,104.7925,5128613
2023-07-14,104.7925,105.5046,104.1862,105.3632,7414192
2023-07-17,105.3632,105.9536,104.5774,104.9077,6792099
2023-07-18,104.9077,105.6998,104.3193,105.4826,11140152
2023-07-19,105.4826,105.872,105.042,105.6187,11576759
2023-07-20,105.6187,106.2038,104.8028,105.696,13735038
2023-07-21,105.696,106.4366,105.6688,105.6784,12921344
2023-07-24,105.6784,106.42,105.2109,106.1815,20926424
2023-07-25,106.1815,106.7832,105.4645,106.399,13756121
2023-07-26,106.399,107.2237,106.0599,106.6662,13427230
2023-07-27,106.6662,107.4306,106.1431,106.5914,6878223
2023-07-28,106.5914,106.7805,106.132,106.5815,18328327
2023-07-31,106.5815,107.3963,106.1864,106.2088,20341647
2023-08-01,106.2088,106.4794,105.6832,106.2178,19770904
2023-08-02,106.2178,106.5911,105.2708,105.7338,15801335
2023-08-03,105.7338,106.9051,105.3623,106.2383,18296135
2023-08-04,106.2383,106.8803,105.466,106.799,17641978
2023-08-07,106.799,107.269,106.1787,107.1933,13991023
2023-08-08,107.1933,108.2078,106.6029,107.8273,18178690
2023-08-09,107.8273,108.751,107.1375,108.0212,13852348
2023-08-10,108.0212,108.4123,107.0573,107.6474,7261270
2023-08-11,107.6474,108.3274,107.1876,107.6142,12743447
2023-08-14,107.6142,108.4617,107.2991,107.7813,8218388
2023-08-15,107.7813,107.8804,107.2015,107.8409,10457263
2023-08-16,107.8409,108.5622,107.7701,108.05,11892692
2023-08-17,108.05,108.0748,107.4071,107.9227,6131720
2023-08-18,107.9227,108.7505,107.4678,107.5655,15264741
2023-08-21,107.5655,108.0266,106.8136,107.2416,18220621
2023-08-22,107.2416,108.3629,107.2327,107.8694,14718420
2023-08-23,107.8694,107.979,106.9813,107.5853,8656633
2023-08-24,107.5853,108.7159,107.1854,108.1915,5852596
2023-08-25,108.1915,108.5217,107.5998,108.0308,5966531
2023-08-28,108.0308,108.4189,107.8761,108.3008,7693137
2023-08-29,108.3008,108.8345,107.5388,108.1073,12351726
2023-08-30,108.1073,108.5069,107.3457,108.3393,6054642
2023-08-31,108.3393,109.0219,108.2819,108.9464,5579880
2023-09-01,108.9464,109.2481,108.5012,108.5446,8157968
2023-09-04,108.5446,109.2211,108.1075,108.4972,21841145
2023-09-05,108.4972,109.0322,107.9536,108.0415,7437457
2023-09-06,108.0415,108.7319,107.7491,108.3641,7813013
2023-09-07,108.3641,109.0051,108.0416,108.7597,11694332
2023-09-08,108.7597,109.8571,108.4284,109.1338,16338196
2023-09-11,109.1338,109.2233,107.968,108.6277,7597238
2023-09-12,108.6277,109.3014,108.2031,109.0056,19756809
2023-09-13,109.0056,109.6439,108.7295,109.1607,18319848
2023-09-14,109.1607,109.7592,108.9921,109.0053,10065523
2023-09-15,109.0053,109.1006,108.3438,108.8174,19224485
2023-09-18,108.8174,109.5583,108.7143,108.9853,4780691
2023-09-19,108.9853,109.5859,108.3268,109.2964,9889553
2023-09-20,109.2964,109.9465,108.5384,108.9748,17926495
2023-09-21,108.9748,109.8901,108.5758,109.3776,10346973
2023-09-22,109.3776,110.2883,109.307,109.4181,14506845
2023-09-25,109.4181,109.5727,108.8962,109.4169,20402427
2023-09-26,109.4169,110.0478,109.0482,109.0581,7781998
2023-09-27,109.0581,109.2174,108.1623,108.83,12547070
2023-09-28,108.83,110.082,108.6289,109.2218,14379079
2023-09-29,109.2218,109.4847,108.7445,108.9737,13397833
2023-10-02,108.9737,110.1223,108.6734,109.4319,20324758
2023-10-03,109.4319,110.2836,108.6998,108.9678,18200472
2023-10-04,108.9678,109.8015,108.3026,108.9983,8358508
2023-10-05,108.9983,109.8955,108.7821,109.0651,19757546
